season_name,season,full_name,castaway,age,city,state,personality_type,day,order,result,jury_status,original_tribe,swapped_tribe,swapped_tribe2,merged_tribe,total_votes_received,immunity_idols_won
Survivor: South Pacific,23,Oscar Lusth,Ozzy,29,Venice,California,ISFP,22,9,9th voted out,NA,Savaii,NA,NA,Te Tuna,17,2
Survivor: South Pacific,23,Jim Rice,Jim,35,Denver,Colorado,ENTP,24,10,10th voted out,1st jury member,Savaii,NA,NA,Te Tuna,8,1
Survivor: South Pacific,23,Dawn Meehan,Dawn,41,South Jordan,Utah,ESFJ,27,11,11th voted out,3rd jury member,Savaii,NA,NA,Te Tuna,16,1
Survivor: South Pacific,23,Whitney Duncan,Whitney,27,Nashville,Tennessee,ESFP,27,12,12th voted out,4th jury member,Savaii,NA,NA,Te Tuna,14,1
Survivor: South Pacific,23,John Cochran,Cochran,24,Washington,D.C.,INTP,30,13,13th voted out,5th jury member,Savaii,NA,NA,Te Tuna,14,0
Survivor: South Pacific,23,Edna Ma,Edna,35,Los Angeles,California,ISTJ,32,14,14th voted out,6th jury member,Upolu,NA,NA,Te Tuna,17,0
Survivor: South Pacific,23,Brandon Hantz,Brandon,19,Katy,Texas,ESFP,35,15,15th voted out,7th jury member,Upolu,NA,NA,Te Tuna,4,1
Survivor: South Pacific,23,Rick Nelson,Rick,51,Aurora,Utah,ISFJ,37,16,16th voted out,8th jury member,Upolu,NA,NA,Te Tuna,15,0
Survivor: South Pacific,23,Oscar Lusth,Ozzy,29,Venice,California,ISFP,38,17,17th voted out,9th jury member,Savaii,NA,NA,Te Tuna,17,2
Survivor: South Pacific,23,Albert Destrade,Albert,26,Plantation,Florida,ENTJ,39,18,2nd runner-up,NA,Upolu,NA,NA,Te Tuna,1,1
Survivor: South Pacific,23,Benjamin Wade,Coach,39,Susanville,California,ENFJ,39,19,Runner-up,NA,Upolu,NA,NA,Te Tuna,0,1
Survivor: South Pacific,23,Sophie Clarke,Sophie,22,Willsboro,New York,INTJ,39,20,Sole Survivor,NA,Upolu,NA,NA,Te Tuna,5,3
Survivor: Redemption Island,22,Francesca Hogi,Francesca,36,Washington,D.C.,INFJ,3,1,1st voted out,NA,Ometepe,NA,NA,NA,4,0
Survivor: Redemption Island,22,Matt Elrod,Matt,22,Nashville,Tennessee,INFP,5,2,2nd voted out,NA,Ometepe,NA,NA,NA,10,0
Survivor: Redemption Island,22,Russell Hantz,Russell,37,Dayton,Texas,ESTJ,8,3,3rd voted out,NA,Zapatera,NA,NA,NA,8,0
Survivor: Redemption Island,22,Kristina Kell,Kristina,46,Malibu,California,INTP,11,4,4th voted out,NA,Ometepe,NA,NA,NA,9,0
Survivor: Redemption Island,22,Krista Klumpp,Krista,25,Columbia,South Carolina,ISFP,13,5,5th voted out,NA,Zapatera,NA,NA,NA,6,0
Survivor: Redemption Island,22,Stephanie Valencia,Stephanie,26,Long Beach,California,ESFP,16,6,6th voted out,NA,Zapatera,NA,NA,NA,8,0
Survivor: Redemption Island,22,Sarita White,Sarita,36,Santa Monica,California,INTP,18,7,7th voted out,NA,Zapatera,NA,NA,NA,6,0
Survivor: Redemption Island,22,Matt Elrod,Matt,22,Nashville,Tennessee,INFP,21,8,8th voted out,6th jury member,Ometepe,NA,NA,Murlonio,10,0
Survivor: Redemption Island,22,Mike Chiesl,Mike,31,Del Mar,California,ISFJ,22,9,9th voted out,7th jury member,Zapatera,NA,NA,Murlonio,6,0
Survivor: Redemption Island,22,David Murphy,David,31,West Hollywood,California,INTJ,24,10,10th voted out,1st jury member,Zapatera,NA,NA,Murlonio,8,0
Survivor: Redemption Island,22,Julie Wolfe,Julie,50,Oceanside,California,ISTJ,27,11,11th voted out,2nd jury member,Zapatera,NA,NA,Murlonio,6,0
Survivor: Redemption Island,22,Ralph Kiser,Ralph,45,Lebanon,Virginia,ESTP,30,12,12th voted out,4th jury member,Zapatera,NA,NA,Murlonio,16,0
Survivor: Redemption Island,22,Steve Wright,Steve,51,Huntington Beach,California,ISFJ,30,13,13th voted out,3rd jury member,Zapatera,NA,NA,Murlonio,15,0
Survivor: Redemption Island,22,Andrea Boehlke,Andrea,21,Random Lake,Wisconsin,ENFP,32,14,14th voted out,NA,Ometepe,NA,NA,Murlonio,9,1
Survivor: Redemption Island,22,Grant Mattos,Grant,29,West Hollywood,California,ISFP,35,15,15th voted out,5th jury member,Ometepe,NA,NA,Murlonio,11,2
Survivor: Redemption Island,22,Andrea Boehlke,Andrea,21,Random Lake,Wisconsin,ENFP,37,16,16th voted out,8th jury member,Ometepe,NA,NA,Murlonio,9,1
Survivor: Redemption Island,22,Ashley Underwood,Ashley,25,Benton,Maine,ESTP,38,17,17th voted out,9th jury member,Ometepe,NA,NA,Murlonio,3,2
Survivor: Redemption Island,22,Natalie Tenerelli,Natalie,19,Acton,California,ISFP,39,18,2nd runner-up,NA,Ometepe,NA,NA,Murlonio,1,1
Survivor: Redemption Island,22,Phillip Sheppard,Phillip,52,Santa Monica,California,ESTJ,39,19,Runner-up,NA,Ometepe,NA,NA,Murlonio,17,0
Survivor: Redemption Island,22,Rob Mariano,Rob,34,Pensacola,Florida,ESTJ,39,20,Sole Survivor,NA,Ometepe,NA,NA,Murlonio,9,4
Survivor: Nicaragua,21,Wendy-Jo DeSmidt-Kohlhoff,Wendy,48,Fromberg,Montana,ISFP,3,1,1st voted out,NA,Espada,NA,NA,NA,9,0
Survivor: Nicaragua,21,Shannon Elkins,Shannon,30,Lafayette,Louisiana,ESTJ,6,2,2nd voted out,NA,La Flor,NA,NA,NA,7,0
Survivor: Nicaragua,21,Jimmy Johnson,Jimmy J.,67,Islamorada,Florida,ESFJ,8,3,3rd voted out,NA,Espada,NA,NA,NA,8,0
Survivor: Nicaragua,21,James Tarantino,Jimmy T.,48,Gloucester,Massachusetts,ESTP,11,4,4th voted out,NA,Espada,NA,NA,NA,5,0
Survivor: Nicaragua,21,Tyrone Davis,Tyrone,42,Inglewood,California,ESTJ,14,5,5th voted out,NA,Espada,Espada,NA,NA,6,0
Survivor: Nicaragua,21,Kelly Bruno,Kelly B.,26,Durham,North Carolina,ISFP,15,6,6th voted out,NA,La Flor,La Flor,NA,NA,16,0
Survivor: Nicaragua,21,Yve Rojas,Yve,41,Kansas City,Missouri,ISFJ,15,7,7th voted out,NA,Espada,Espada,NA,NA,13,0
Survivor: Nicaragua,21,Jill Behm,Jill,43,Erie,Pennsylvania,ISTJ,18,8,8th voted out,NA,Espada,La Flor,NA,NA,3,1
Survivor: Nicaragua,21,Alina Wilson,Alina,23,Downey,California,INFP,22,9,9th voted out,1st jury member,La Flor,Espada,NA,Libertad,10,0
Survivor: Nicaragua,21,Marty Piombo,Marty,48,Mill Valley,California,ENTJ,24,10,10th voted out,2nd jury member,Espada,La Flor,NA,Libertad,19,0
Survivor: Nicaragua,21,Brenda Lowe,Brenda,27,Miami,Florida,INTJ,27,11,11th voted out,3rd jury member,La Flor,La Flor,NA,Libertad,15,1
Survivor: Nicaragua,21,NaOnka Mixon,NaOnka,27,Los Angeles,California,ESTP,28,12,Quit,4th jury member,La Flor,Espada,NA,Libertad,3,0
Survivor: Nicaragua,21,Kelly Shinn,Kelly S.,20,Mesa,Arizona,ENFP,28,13,Quit,5th jury member,La Flor,La Flor,NA,Libertad,0,0
Survivor: Nicaragua,21,Ben Henry,Benry,24,Los Angeles,California,ESTP,32,14,12th voted out,6th jury member,La Flor,Espada,NA,Libertad,5,0
Survivor: Nicaragua,21,Jane Bright,Jane,56,Jackson Springs,North Carolina,ISTP,36,15,13th voted out,7th jury member,Espada,La Flor,NA,Libertad,11,2
Survivor: Nicaragua,21,Dan Lembo,Dan,63,Water Mill,New York,ISTP,37,16,14th voted out,8th jury member,Espada,Espada,NA,Libertad,10,0
Survivor: Nicaragua,21,Holly Hoffman,Holly,44,Eureka,South Dakota,ENFJ,38,17,15th voted out,9th jury member,Espada,Espada,NA,Libertad,4,1
Survivor: Nicaragua,21,Matthew Lenahan,Sash,30,New York City,New York,ENTJ,39,18,2nd runner-up,NA,La Flor,La Flor,NA,Libertad,2,1
Survivor: Nicaragua,21,Chase Rice,Chase,24,Fairview,North Carolina,ISFP,39,19,Runner-up,NA,La Flor,Espada,NA,Libertad,1,0
Survivor: Nicaragua,21,Jud Birza,Fabio,21,Venice,California,ESFP,39,20,Sole Survivor,NA,La Flor,La Flor,NA,Libertad,2,4
Survivor: Heroes vs. Villains,20,Jessica Kiper,Sugar,30,Los Angeles,California,ENFP,3,1,1st voted out,NA,Heroes,NA,NA,NA,9,0
Survivor: Heroes vs. Villains,20,Stephenie LaGrossa,Stephenie,29,Philadelphia,Pennsylvania,ESTJ,6,2,2nd voted out,NA,Heroes,NA,NA,NA,6,0
Survivor: Heroes vs. Villains,20,Randy Bailey,Randy,50,Austin,Texas,INTJ,8,3,3rd voted out,NA,Villains,NA,NA,NA,9,0
Survivor: Heroes vs. Villains,20,Cirie Fields,Cirie,39,Norwalk,Connecticut,ENFJ,11,4,4th voted out,NA,Heroes,NA,NA,NA,3,0
Survivor: Heroes vs. Villains,20,Tom Westman,Tom,45,New York City,New York,ESTJ,14,5,5th voted out,NA,Heroes,NA,NA,NA,8,0
Survivor: Heroes vs. Villains,20,Tyson Apostol,Tyson,30,Heber City,Utah,ESTP,15,6,6th voted out,NA,Villains,NA,NA,NA,6,0
Survivor: Heroes vs. Villains,20,James Clement,James,32,Lafayette,Louisiana,ISTP,15,7,7th voted out,NA,Heroes,NA,NA,NA,12,0
Survivor: Heroes vs. Villains,20,Rob Mariano,Rob,33,Pensacola,Florida,ESTJ,18,8,8th voted out,NA,Villains,NA,NA,NA,5,1
Survivor: Heroes vs. Villains,20,Benjamin Wade,Coach,38,Susanville,California,ENFJ,21,9,9th voted out,1st jury member,Villains,NA,NA,NA,4,0
Survivor: Heroes vs. Villains,20,Courtney Yates,Courtney,28,New York City,New York,ENTP,24,10,10th voted out,2nd jury member,Villains,NA,NA,NA,9,0
Survivor: Heroes vs. Villains,20,James Thomas Jr.,J.T.,25,Mobile,Alabama,ESTP,27,11,11th voted out,3rd jury member,Heroes,NA,NA,Yin Yang,5,0
Survivor: Heroes vs. Villains,20,Amanda Kimmel,Amanda,25,Los Angeles,California,ISFP,30,12,12th voted out,4th jury member,Heroes,NA,NA,Yin Yang,10,0
Survivor: Heroes vs. Villains,20,Candice Woodcock,Candice,26,Washington,D.C.,ISTJ,31,13,13th voted out,5th jury member,Heroes,NA,NA,Yin Yang,5,1
Survivor: Heroes vs. Villains,20,Danielle DiLorenzo,Danielle,28,Los Angeles,California,ESFP,33,14,14th voted out,6th jury member,Villains,NA,NA,Yin Yang,4,1
Survivor: Heroes vs. Villains,20,Rupert Boneham,Rupert,45,Indianapolis,Indiana,ESFJ,36,15,15th voted out,7th jury member,Heroes,NA,NA,Yin Yang,10,0
Survivor: Heroes vs. Villains,20,Colby Donaldson,Colby,35,Los Angeles,California,ISTP,37,16,16th voted out,8th jury member,Heroes,NA,NA,Yin Yang,8,0
Survivor: Heroes vs. Villains,20,Jerri Manthey,Jerri,38,Los Angeles,California,ESFP,38,17,17th voted out,9th jury member,Villains,NA,NA,Yin Yang,9,1
Survivor: Heroes vs. Villains,20,Russell Hantz,Russell,36,Dayton,Texas,ESTJ,39,18,2nd Runner-up,NA,Villains,NA,NA,Yin Yang,7,2
Survivor: Heroes vs. Villains,20,Parvati Shallow,Parvati,26,Los Angeles,California,ENFJ,39,19,Runner-up,NA,Villains,NA,NA,Yin Yang,12,3
Survivor: Heroes vs. Villains,20,Sandra Diaz-Twine,Sandra,35,Fayetteville,North Carolina,ESTP,39,20,Sole Survivor,NA,Villains,NA,NA,Yin Yang,3,0
Survivor: Samoa,19,Marisa Calihan,Marisa,26,Cincinnati,Ohio,INFP,3,1,1st voted out,NA,Foa Foa,NA,NA,NA,7,0
Survivor: Samoa,19,Mike Borassi,Mike,62,Marina del Rey,California,ESTP,5,2,Medically evacuated,NA,Foa Foa,NA,NA,NA,0,0
Survivor: Samoa,19,Betsy Bolan,Betsy,48,Campton,New Hampshire,ESTJ,6,3,2nd voted out,NA,Foa Foa,NA,NA,NA,7,0
Survivor: Samoa,19,Ben Browning,Ben,28,Los Angeles,California,ESTP,8,4,3rd voted out,NA,Foa Foa,NA,NA,NA,7,0
Survivor: Samoa,19,Yasmin Giles,Yasmin,33,Los Angeles,California,ESFP,11,5,4th voted out,NA,Galu,NA,NA,NA,8,0
Survivor: Samoa,19,Ashley Trainer,Ashley,22,Maple Grove,Minnesota,ENFP,14,6,5th voted out,NA,Foa Foa,NA,NA,NA,9,0
Survivor: Samoa,19,Russell Swan,Russell S.,42,Glenside,Pennsylvania,ESFJ,15,7,Medically evacuated,NA,Galu,NA,NA,NA,0,0
Survivor: Samoa,19,Elizabeth Kim,Liz,33,New York City,New York,INTP,18,8,6th voted out,NA,Foa Foa,NA,NA,NA,5,0
Survivor: Samoa,19,Erik Cardona,Erik,28,Los Angeles,California,ENTP,21,9,7th voted out,1st jury member,Galu,NA,NA,Aiga,10,0
Survivor: Samoa,19,Kelly Sharbaugh,Kelly,25,San Diego,California,ISFP,24,10,8th voted out,2nd jury member,Galu,NA,NA,Aiga,4,0
Survivor: Samoa,19,Laura Morett,Laura,39,Salem,Oregon,ENFJ,27,11,9th voted out,3rd jury member,Galu,NA,NA,Aiga,10,2
Survivor: Samoa,19,John Fincher,John,25,Santa Monica,California,INTP,30,12,10th voted out,4th jury member,Galu,NA,NA,Aiga,7,1
Survivor: Samoa,19,Dave Ball,Dave,38,Los Angeles,California,INTP,31,13,11th voted out,5th jury member,Galu,NA,NA,Aiga,8,0
Survivor: Samoa,19,Monica Padilla,Monica,25,San Diego,California,ENFP,33,14,12th voted out,6th jury member,Galu,NA,NA,Aiga,7,0
Survivor: Samoa,19,Shannon Waters,Shambo,45,Renton,Washington,ESFP,36,15,13th voted out,7th jury member,Galu,NA,NA,Aiga,6,0
Survivor: Samoa,19,Jaison Robinson,Jaison,28,Chicago,Illinois,INTJ,37,16,14th voted out,8th jury member,Foa Foa,NA,NA,Aiga,7,2
Survivor: Samoa,19,Brett Clouser,Brett,23,Los Angeles,California,ISFP,38,17,15th voted out,9th jury member,Galu,NA,NA,Aiga,3,3
Survivor: Samoa,19,Mick Trimming,Mick,33,Los Angeles,California,INTP,39,18,2nd runner-up,NA,Foa Foa,NA,NA,Aiga,4,1
Survivor: Samoa,19,Russell Hantz,Russell H.,36,Dayton,Texas,ESTJ,39,19,Runner-up,NA,Foa Foa,NA,NA,Aiga,6,0
Survivor: Samoa,19,Natalie White,Natalie,26,Van Buren,Arkansas,ISFJ,39,20,Sole Survivor,NA,Foa Foa,NA,NA,Aiga,8,0
Survivor: Tocantins,18,Carolina Eastwood,Carolina,26,West Hollywood,California,ESTJ,3,1,1st voted out,NA,Jalapao,NA,NA,NA,7,0
Survivor: Tocantins,18,Candace Smith,Candace,31,Los Angeles,California,ISTJ,6,2,2nd voted out,NA,Timbira,NA,NA,NA,7,0
Survivor: Tocantins,18,Jerry Sims,Jerry,49,Rock Hill,South Carolina,ISTJ,9,3,3rd voted out,NA,Timbira,NA,NA,NA,6,0
Survivor: Tocantins,18,Sandy Burgin,Sandy,53,Louisville,Kentucky,ESFP,12,4,4th voted out,NA,Jalapao,NA,NA,NA,6,0
Survivor: Tocantins,18,Spencer Duhm,Spencer,19,Gainesville,Florida,INFP,15,5,5th voted out,NA,Jalapao,NA,NA,NA,5,0
Survivor: Tocantins,18,Sydney Wheeler,Sydney,24,San Diego,California,ISFP,18,6,6th voted out,NA,Jalapao,NA,NA,NA,4,0
Survivor: Tocantins,18,Joe Dowdle,Joe,26,Austin,Texas,ISTJ,20,7,Medically evacuated,NA,Jalapao,NA,NA,Forza,1,0
Survivor: Tocantins,18,Brendan Synnott,Brendan,30,Vail,Colorado,ENTP,24,8,7th voted out,1st jury member,Timbira,NA,NA,Forza,4,0
Survivor: Tocantins,18,Tyson Apostol,Tyson,29,Heber City,Utah,ESTP,27,9,8th voted out,2nd jury member,Timbira,NA,NA,Forza,5,2
Survivor: Tocantins,18,Sierra Reed,Sierra,23,Los Angeles,California,INFP,30,10,9th voted out,3rd jury member,Timbira,NA,NA,Forza,11,0
Survivor: Tocantins,18,Debra Beebe,Debbie,46,Auburn,Alabama,ESFJ,33,11,10th voted out,4th jury member,Timbira,NA,NA,Forza,6,1
Survivor: Tocantins,18,Benjamin Wade,Coach,37,Bolivar,Missouri,ENFJ,36,12,11th voted out,5th jury member,Timbira,NA,NA,Forza,6,1
Survivor: Tocantins,18,Tamara Johnson-George,Taj,37,Nashville,Tennessee,ENFJ,37,13,12th voted out,6th jury member,Jalapao,NA,NA,Forza,7,0
Survivor: Tocantins,18,Erinn Lobdell,Erinn,26,Milwaukee,Wisconsin,ENFP,38,14,13th voted out,7th jury member,Timbira,NA,NA,Forza,5,0
Survivor: Tocantins,18,Stephen Fishbach,Stephen,29,New York City,New York,INTP,39,15,Runner-up,NA,Jalapao,NA,NA,Forza,1,1
Survivor: Tocantins,18,James Thomas Jr.,J.T.,24,Mobile,Alabama,ESTP,39,16,Sole Survivor,NA,Jalapao,NA,NA,Forza,0,2
Survivor: Gabon,17,Michelle Chase,Michelle,24,Los Angeles,California,INTP,3,1,1st voted out,NA,Fang,NA,NA,NA,8,0
Survivor: Gabon,17,Gillian Larson,Gillian,61,Temecula,California,ENFP,6,2,2nd voted out,NA,Fang,NA,NA,NA,8,0
Survivor: Gabon,17,Paloma Soto-Castillo,Paloma,23,Downey,California,ENFP,9,3,3rd voted out,NA,Kota,NA,NA,NA,7,0
Survivor: Gabon,17,Jacquie Berg,Jacquie,25,Santa Barbara,California,ENFJ,12,4,4th voted out,NA,Kota,Fang,NA,NA,5,0
Survivor: Gabon,17,Danny Brown,GC,25,Portland,Oregon,INFP,15,5,5th voted out,NA,Fang,Fang,NA,NA,6,1
Survivor: Gabon,17,Kelly Czarnecki,Kelly,22,Buffalo Grove,Illinois,INFP,18,6,6th voted out,NA,Kota,Fang,NA,NA,8,0
Survivor: Gabon,17,Ace Gordon,Ace,27,Naples,Florida,INTJ,21,7,7th voted out,NA,Kota,Fang,NA,NA,8,0
Survivor: Gabon,17,Dan Kay,Dan,32,Boston,Massachusetts,ISFP,21,8,8th voted out,NA,Fang,Kota,NA,NA,8,0
Survivor: Gabon,17,Marcus Lehman,Marcus,28,Atlanta,Georgia,ENTJ,24,9,9th voted out,1st jury member,Kota,Kota,Kota,NA,3,2
Survivor: Gabon,17,Charlie Herschel,Charlie,29,New York City,New York,ENFP,27,10,10th voted out,2nd jury member,Kota,Kota,Fang,Nobag,5,0
Survivor: Gabon,17,Randy Bailey,Randy,49,Eagle Rock,Missouri,INTJ,30,11,11th voted out,3rd jury member,Fang,Kota,Fang,Nobag,5,0
Survivor: Gabon,17,Corinne Kaplan,Corinne,29,Los Angeles,California,ENTJ,33,12,12th voted out,4th jury member,Kota,Kota,Fang,Nobag,4,0
Survivor: Gabon,17,Crystal Cox,Crystal,29,Durham,North Carolina,ESFP,36,13,13th voted out,5th jury member,Fang,Fang,Kota,Nobag,13,0
Survivor: Gabon,17,Ken Hoang,Ken,22,Westminster,California,INTP,37,14,14th voted out,6th jury member,Fang,Fang,Kota,Nobag,7,1
Survivor: Gabon,17,Matty Whitmore,Matty,29,Pacific Palisades,California,ESFP,38,15,15th voted out,7th jury member,Fang,Fang,Fang,Nobag,7,0
Survivor: Gabon,17,Jessica Kiper,Sugar,29,Brooklyn,New York,ENFP,39,16,2nd runner-up,NA,Kota,Fang,Fang,Nobag,0,1
Survivor: Gabon,17,Susie Smith,Susie,47,Charles City,Iowa,ISFJ,39,17,Runner-up,NA,Fang,Kota,Kota,Nobag,10,2
Survivor: Gabon,17,Robert Crowley,Bob,57,South Portland,Maine,INTP,39,18,Sole Survivor,NA,Kota,Kota,Kota,Nobag,2,3
Survivor: Micronesia,16,Jonny Fairplay,Jonny,33,Los Angeles,California,ENTP,3,1,1st voted out,NA,Malakal,NA,NA,NA,9,0
Survivor: Micronesia,16,Mary Sartain,Mary,29,Emeryville,California,ISFJ,6,2,2nd voted out,NA,Airai,NA,NA,NA,6,0
Survivor: Micronesia,16,Yau-Man Chan,Yau-Man,55,Martinez,California,INTP,8,3,3rd voted out,NA,Malakal,NA,NA,NA,6,0
Survivor: Micronesia,16,Michael Bortone,Mikey B,34,Los Angeles,California,ENTP,11,4,4th voted out,NA,Airai,NA,NA,NA,6,0
Survivor: Micronesia,16,Joel Anderson,Joel,32,Avondale,Arizona,ESTJ,14,5,5th voted out,NA,Airai,Malakal,NA,NA,6,0
Survivor: Micronesia,16,Jonathan Penner,Jonathan,45,Los Angeles,California,ENTP,15,6,Medically evacuated,NA,Malakal,Airai,NA,NA,0,0
Survivor: Micronesia,16,Chet Welch,Chet,48,Ford City,Pennsylvania,INFP,17,7,6th voted out,NA,Airai,Malakal,NA,NA,12,0
Survivor: Micronesia,16,Kathleen Sleckman,Kathy,45,Glen Ellyn,Illinois,ENFP,19,8,Quit,NA,Airai,Airai,NA,NA,0,0
Survivor: Micronesia,16,Tracy Hughes-Wolf,Tracy,43,Fredericksburg,Virginia,ENFJ,20,9,7th voted out,NA,Airai,Malakal,NA,NA,7,0
Survivor: Micronesia,16,Ami Cusack,Ami,34,Golden,Colorado,ENTJ,21,10,8th voted out,NA,Malakal,Malakal,NA,NA,4,0
Survivor: Micronesia,16,Eliza Orlins,Eliza,25,Manhattan,New York,ENTJ,24,11,9th voted out,1st jury member,Malakal,Airai,NA,Dabu,8,0
Survivor: Micronesia,16,Oscar Lusth,Ozzy,26,Venice,California,ISFP,27,12,10th voted out,2nd jury member,Malakal,Malakal,NA,Dabu,9,0
Survivor: Micronesia,16,Jason Siska,Jason,22,Fox River Grove,Illinois,ESFP,30,13,11th voted out,3rd jury member,Airai,Airai,NA,Dabu,8,1
Survivor: Micronesia,16,James Clement,James,30,Lafayette,Louisiana,ISTP,31,14,Medically evacuated,4th jury member,Malakal,Airai,NA,Dabu,3,0
Survivor: Micronesia,16,Alexis Jones,Alexis,24,Beverly Hills,California,ENFJ,33,15,12th voted out,5th jury member,Airai,Airai,NA,Dabu,2,0
Survivor: Micronesia,16,Erik Reichenbach,Erik,22,Ypsilanti,Michigan,INTP,36,16,13th voted out,6th jury member,Airai,Malakal,NA,Dabu,7,4
Survivor: Micronesia,16,Natalie Bolton,Natalie,32,West Hollywood,California,INTJ,37,17,14th voted out,7th jury member,Airai,Airai,NA,Dabu,3,0
Survivor: Micronesia,16,Cirie Fields,Cirie,37,Norwalk,Connecticut,ENFJ,38,18,15th voted out,8th jury member,Malakal,Malakal,NA,Dabu,3,0
Survivor: Micronesia,16,Amanda Kimmel,Amanda,23,Los Angeles,California,ISFP,39,19,Runner-up,NA,Malakal,Malakal,NA,Dabu,4,1
Survivor: Micronesia,16,Parvati Shallow,Parvati,25,Los Angeles,California,ENFJ,39,20,Sole Survivor,NA,Malakal,Airai,NA,Dabu,4,1
Survivor: China,15,Steve Morris,Chicken,47,Marion,Virginia,ISFP,3,1,1st voted out,NA,Zhan Hu,NA,NA,NA,5,0
Survivor: China,15,Ashley Massaro,Ashley,28,East Northport,New York,ESFP,6,2,2nd voted out,NA,Zhan Hu,NA,NA,NA,8,0
Survivor: China,15,Leslie Nease,Leslie,38,Tega Cay,South Carolina,ENFP,9,3,3rd voted out,NA,Fei Long,NA,NA,NA,6,0
Survivor: China,15,Dave Cruser,Dave,37,Simi Valley,California,ESTP,12,4,4th voted out,NA,Zhan Hu,NA,NA,NA,6,0
Survivor: China,15,Aaron Reisberger,Aaron,32,Venice,California,ISTJ,15,5,5th voted out,NA,Fei Long,Zhan Hu,NA,NA,3,0
Survivor: China,15,Sherea Lloyd,Sherea,26,Atlanta,Georgia,ESFP,18,6,6th voted out,NA,Zhan Hu,Fei Long,NA,NA,6,0
Survivor: China,15,Jaime Dugan,Jaime,22,Columbia,South Carolina,ESFJ,21,7,7th voted out,1st jury member,Zhan Hu,Zhan Hu,NA,Hae Da Fung,7,0
Survivor: China,15,Jean-Robert Bellande,Jean-Robert,36,Las Vegas,Nevada,INTP,24,8,8th voted out,2nd jury member,Fei Long,Fei Long,NA,Hae Da Fung,12,0
Survivor: China,15,Michael Zernow,Frosti,20,Chicago,Illinois,ESFP,27,9,9th voted out,3rd jury member,Zhan Hu,Fei Long,NA,Hae Da Fung,7,1
Survivor: China,15,James Clement,James,30,Lafayette,Louisiana,ISTP,30,10,10th voted out,4th jury member,Fei Long,Zhan Hu,NA,Hae Da Fung,9,0
Survivor: China,15,Erik Huffman,Erik,26,Nashville,Tennessee,ISFP,33,11,11th voted out,5th jury member,Zhan Hu,Zhan Hu,NA,Hae Da Fung,5,1
Survivor: China,15,Peih-Gee Law,Peih-Gee,29,Marina del Rey,California,ENTP,36,12,12th voted out,6th jury member,Zhan Hu,Zhan Hu,NA,Hae Da Fung,8,0
Survivor: China,15,Denise Martin,Denise,40,Douglas,Massachusetts,ISFP,38,13,13th voted out,7th jury member,Fei Long,Fei Long,NA,Hae Da Fung,3,0
Survivor: China,15,Amanda Kimmel,Amanda,22,Los Angeles,California,ISFP,39,14,2nd runner-up,NA,Fei Long,Fei Long,NA,Hae Da Fung,0,2
Survivor: China,15,Courtney Yates,Courtney,26,New York City,New York,ENTP,39,15,Runner-up,NA,Fei Long,Fei Long,NA,Hae Da Fung,0,1
Survivor: China,15,Todd Herzog,Todd,22,Pleasant Grove,Utah,ENFP,39,16,Sole Survivor,NA,Fei Long,Fei Long,NA,Hae Da Fung,5,0
Survivor: Fiji,14,Jessica deBen,Jessica,27,Los Angeles,California,INFJ,3,1,1st voted out,NA,Ravu,NA,NA,NA,6,0
Survivor: Fiji,14,Erica Durousseau,Erica,27,Baton Rouge,Louisiana,ESFP,6,2,2nd voted out,NA,Ravu,NA,NA,NA,6,0
Survivor: Fiji,14,Sylvia Kwan,Sylvia,52,Ross,California,ISTJ,8,3,3rd voted out,NA,Ravu,NA,NA,NA,6,0
Survivor: Fiji,14,Gary Stritesky,Gary,55,Ramsey,Minnesota,ISFJ,10,4,Quit,NA,Moto,NA,NA,NA,0,0
Survivor: Fiji,14,Liliana Gomez,Liliana,25,Los Angeles,California,ISTJ,11,5,4th voted out,NA,Moto,NA,NA,NA,6,0
Survivor: Fiji,14,Rita Verreos,Rita,38,San Antonio,Texas,ISFJ,14,6,5th voted out,NA,Ravu,NA,NA,NA,6,0
Survivor: Fiji,14,Anthony Robinson,Anthony,32,Compton,California,INFP,16,7,6th voted out,NA,Ravu,Ravu,NA,NA,10,0
Survivor: Fiji,14,James Reid,Rocky,28,Los Angeles,California,ESTP,19,8,7th voted out,1st jury member,Ravu,Ravu,NA,NA,5,0
Survivor: Fiji,14,Lisette Linares,Lisi,36,Los Angeles,California,ESFP,21,9,8th voted out,2nd jury member,Moto,Ravu,NA,NA,7,0
Survivor: Fiji,14,Michelle Yi,Michelle,23,Cincinnati,Ohio,ENFP,24,10,9th voted out,3rd jury member,Ravu,Moto,NA,Bula Bula,3,0
Survivor: Fiji,14,Edgardo Rivera,Edgardo,28,Miami Beach,Florida,ESTP,27,11,10th voted out,4th jury member,Moto,Ravu,NA,Bula Bula,5,0
Survivor: Fiji,14,Mookie Lee,Mookie,25,Chicago,Illinois,ESFP,30,12,11th voted out,5th jury member,Ravu,Ravu,NA,Bula Bula,6,0
Survivor: Fiji,14,Alex Angarita,Alex,28,Los Angeles,California,ENTJ,33,13,12th voted out,6th jury member,Moto,Ravu,NA,Bula Bula,9,0
Survivor: Fiji,14,Stacy Kimball,Stacy,27,Boulder,Colorado,INTJ,36,14,13th voted out,7th jury member,Moto,Moto,NA,Bula Bula,4,1
